benchmark	model_s	model_t	metric	statistic	n_observations	expected_observations	observation_coverage	n_prompts	expected_prompts	prompt_coverage	f_point	f_lo	f_hi	cohort	pair_population	pregrouper	scope	requested_scope	resolved_scope	contrast	requested_contrast	resolved_source_contrast	resolved_target_contrast	readout_contrast	availability_status	unavailable_reason	aggregation	source_num_blocks	target_num_blocks	relative_depth_index	relative_depth	relative_depth_grid_size	depth_alignment	embedding_slot_included
boolq	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	F_pred	spearman	3270	3270	1.0	3270	3270	1.0	0.4756778525334605	0.447657911815749	0.5032009705031936	open	open_open	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		row_pooled	24	36	0	0.0	21	linear_interpolation_block_outputs_only	False
boolq	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	F_pred	pearson_r	3270	3270	1.0	3270	3270	1.0	0.480586804938669	0.45363191699895894	0.5066695789934808	open	open_open	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		row_pooled	24	36	0	0.0	21	linear_interpolation_block_outputs_only	False
boolq	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	F_pred	pearson_r2	3270	3270	1.0	3270	3270	1.0	0.2309636770811583	0.20578191999349998	0.25671406259681123	open	open_open	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		row_pooled	24	36	0	0.0	21	linear_interpolation_block_outputs_only	False
boolq	qwen2.5-0.5b-instruct	llama-3.1-8b-instruct	F_pred	spearman	3270	3270	1.0	3270	3270	1.0	-0.019994001848041672	-0.0509005603771914	0.014328564801854102	open	open_open	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		row_pooled	24	32	0	0.0	21	linear_interpolation_block_outputs_only	False
boolq	qwen2.5-0.5b-instruct	llama-3.1-8b-instruct	F_pred	pearson_r	3270	3270	1.0	3270	3270	1.0	-0.04444593488522122	-0.08051338091911178	-0.004115294607602707	open	open_open	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		row_pooled	24	32	0	0.0	21	linear_interpolation_block_outputs_only	False
boolq	qwen2.5-0.5b-instruct	llama-3.1-8b-instruct	F_pred	pearson_r2	3270	3270	1.0	3270	3270	1.0	0.001975441127821325	3.239797167529772e-05	0.0064824071764591614	open	open_open	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		row_pooled	24	32	0	0.0	21	linear_interpolation_block_outputs_only	False
boolq	qwen2.5-0.5b-instruct	qwen2.5-7b-instruct	F_pred	spearman	3270	3270	1.0	3270	3270	1.0	0.20602672322973653	0.17316756712107262	0.23949361193564306	open	open_open	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		row_pooled	24	28	0	0.0	21	linear_interpolation_block_outputs_only	False
boolq	qwen2.5-0.5b-instruct	qwen2.5-7b-instruct	F_pred	pearson_r	3270	3270	1.0	3270	3270	1.0	0.1799417712700057	0.1486003556702035	0.21350878308145213	open	open_open	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		row_pooled	24	28	0	0.0	21	linear_interpolation_block_outputs_only	False
boolq	qwen2.5-0.5b-instruct	qwen2.5-7b-instruct	F_pred	pearson_r2	3270	3270	1.0	3270	3270	1.0	0.032379041047787056	0.022082065771938594	0.045586006850899675	open	open_open	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		row_pooled	24	28	0	0.0	21	linear_interpolation_block_outputs_only	False
boolq	qwen2.5-0.5b-instruct	qwen2.5-14b-instruct	F_pred	spearman	3270	3270	1.0	3270	3270	1.0	-0.05094307234673149	-0.0833228996172311	-0.018122186699289517	open	open_open	sentence	user	user	prompt_level_full_dialog	canonical	canonical	true_minus_false	true_minus_false	not_applicable	available		row_pooled	24	48	0	0.0	21	linear_interpolation_block_outputs_only	False
