benchmark	pregrouper	scope	representation	aggregation	model_s	model_t	metric	statistic	missingness_policy	expected_observations	n_observations	n_prompts	expected_prompts	prompt_coverage	observation_coverage	f_point	f_lo	f_hi
race	sentence	user	all_pairs	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	4934	1.0	1.0	0.284409958278765	0.2701732280925928	0.2998368302238012
race	sentence	user	all_pairs	row_pooled	qwen2.5-0.5b-instruct	llama-3.1-8b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	4934	1.0	1.0	0.32888969687810726	0.3132981521407845	0.34591765232651833
race	sentence	user	all_pairs	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-7b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	4934	1.0	1.0	0.286774128367148	0.27134897052359147	0.30046187260006985
race	sentence	user	all_pairs	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-14b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	4934	1.0	1.0	0.2747630118816233	0.26262006778538793	0.2890056400975616
race	sentence	user	all_pairs	row_pooled	qwen2.5-0.5b-instruct	llama3.1-70b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4926	4926	4934	0.9983785974868261	0.9983785974868261	0.30266880963816417	0.2870660960685978	0.31760736801279527
race	sentence	user	all_pairs	row_pooled	qwen2.5-0.5b-instruct	llama3.3-70b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4917	4917	4934	0.9965545196595055	0.9965545196595055	0.27601352763278375	0.2619930625712522	0.28994664238197443
race	sentence	user	all_pairs	row_pooled	qwen2.5-0.5b-instruct	llama4-maverick-17b-128e-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4321	4321	4934	0.8757600324280502	0.8757600324280502	0.24460920848427609	0.22863649771511418	0.26054159680703365
race	sentence	user	all_pairs	row_pooled	qwen2.5-0.5b-instruct	gpt-4o	F_pred_rv	rv	pair_specific_complete_case	4934	3191	3191	4934	0.6467369274422375	0.6467369274422375	0.23548103803372553	0.21817444796781166	0.2537848325533666
race	sentence	user	all_pairs	row_pooled	qwen2.5-0.5b-instruct	gpt-4-1	F_pred_rv	rv	pair_specific_complete_case	4934	1021	1021	4934	0.20693149574381842	0.20693149574381842	0.1355559478139997	0.10883121689344914	0.16752182904654334
race	sentence	user	all_pairs	row_pooled	qwen2.5-0.5b-instruct	gemini-2-5-flash-lite-vertex	F_pred_rv	rv	pair_specific_complete_case	4934	4897	4897	4934	0.9925010133765707	0.9925010133765707	0.28269722797344216	0.26804687423121276	0.29829583399133064
race	sentence	user	all_pairs	row_pooled	qwen2.5-3b-instruct	llama-3.1-8b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	4934	1.0	1.0	0.7086324911128584	0.6975296060868904	0.7180602545806241
race	sentence	user	all_pairs	row_pooled	qwen2.5-3b-instruct	qwen2.5-7b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	4934	1.0	1.0	0.773243663575184	0.7625417140562089	0.7832832874248052
race	sentence	user	all_pairs	row_pooled	qwen2.5-3b-instruct	qwen2.5-14b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	4934	1.0	1.0	0.7797976980307454	0.7680621630434394	0.7909224828153087
